STATE,TYPE OF PRODUCER,GENERATION(MWH)
MA,"Combined Heat and Power, Electric Power",1545819.0
MA,"Combined Heat and Power, Industrial Power",205260.0
MA,"Electric Generators, Electric Utilities",475936.0
MA,"Electric Generators, Independent Power Producers",16524875.0
MD,"Combined Heat and Power, Commercial Power",903741.0
MD,"Combined Heat and Power, Electric Power",2354505.0
MD,"Combined Heat and Power, Industrial Power",48121.0
MD,"Electric Generators, Electric Utilities",3471174.0
MD,"Electric Generators, Independent Power Producers",32941750.0
ME,"Combined Heat and Power, Commercial Power",97588.0
ME,"Combined Heat and Power, Electric Power",383725.0
ME,"Combined Heat and Power, Industrial Power",1791822.0
ME,"Electric Generators, Electric Utilities",2757.0
ME,"Electric Generators, Independent Power Producers",8676883.0
MI,"Combined Heat and Power, Commercial Power",666788.0
MI,"Combined Heat and Power, Electric Power",11961234.0
MI,"Combined Heat and Power, Industrial Power",1309135.0
MI,"Electric Generators, Electric Utilities",82022523.0
MI,"Electric Generators, Independent Power Producers",20085706.0
MN,"Combined Heat and Power, Commercial Power",294467.0
MN,"Combined Heat and Power, Electric Power",1060443.0
MN,"Combined Heat and Power, Industrial Power",1009953.0
MN,"Electric Generators, Electric Utilities",42688351.0
MN,"Electric Generators, Independent Power Producers",14574805.0
MO,"Combined Heat and Power, Commercial Power",194533.0
MO,"Combined Heat and Power, Electric Power",35308.0
MO,"Combined Heat and Power, Industrial Power",43681.0
MO,"Electric Generators, Electric Utilities",70672592.0
MO,"Electric Generators, Independent Power Producers",6869866.0
MS,"Combined Heat and Power, Commercial Power",0.0
MS,"Combined Heat and Power, Industrial Power",1973656.0
MS,"Electric Generators, Electric Utilities",63535757.0
MS,"Electric Generators, Independent Power Producers",3203912.0
MT,"Combined Heat and Power, Electric Power",454274.0
MT,"Combined Heat and Power, Industrial Power",35041.0
MT,"Electric Generators, Electric Utilities",10341964.0
MT,"Electric Generators, Independent Power Producers",13635359.0
NC,"Combined Heat and Power, Commercial Power",272099.0
NC,"Combined Heat and Power, Electric Power",214176.0
NC,"Combined Heat and Power, Industrial Power",1785586.0
NC,"Electric Generators, Electric Utilities",110756159.0
NC,"Electric Generators, Independent Power Producers",18234662.0
ND,"Combined Heat and Power, Commercial Power",1062.0
ND,"Combined Heat and Power, Industrial Power",151658.0
ND,"Electric Generators, Electric Utilities",33414347.0
ND,"Electric Generators, Independent Power Producers",9138170.0
NE,"Combined Heat and Power, Commercial Power",17924.0
NE,"Combined Heat and Power, Industrial Power",344119.0
NE,"Electric Generators, Electric Utilities",28818114.0
NE,"Electric Generators, Independent Power Producers",9464488.0
NH,"Combined Heat and Power, Commercial Power",64791.0
NH,"Combined Heat and Power, Industrial Power",29005.0
NH,"Electric Generators, Electric Utilities",660628.0
NH,"Electric Generators, Independent Power Producers",16680566.0
NJ,"Combined Heat and Power, Commercial Power",643265.0
NJ,"Combined Heat and Power, Electric Power",6911564.0
NJ,"Combined Heat and Power, Industrial Power",471205.0
NJ,"Electric Generators, Electric Utilities",62574.0
NJ,"Electric Generators, Independent Power Producers",53297915.0
NM,"Combined Heat and Power, Commercial Power",121998.0
NM,"Combined Heat and Power, Electric Power",20252.0
NM,"Combined Heat and Power, Industrial Power",47907.0
NM,"Electric Generators, Electric Utilities",21893409.0
NM,"Electric Generators, Independent Power Producers",13187732.0
NV,"Combined Heat and Power, Commercial Power",627385.0
NV,"Combined Heat and Power, Electric Power",2183913.0
NV,"Combined Heat and Power, Industrial Power",337614.0
NV,"Electric Generators, Electric Utilities",27261574.0
NV,"Electric Generators, Independent Power Producers",11469702.0
NY,"Combined Heat and Power, Commercial Power",1283599.0
NY,"Combined Heat and Power, Electric Power",11479531.0
NY,"Combined Heat and Power, Industrial Power",823690.0
NY,"Electric Generators, Electric Utilities",37266097.0
NY,"Electric Generators, Independent Power Producers",74373104.0
OH,"Combined Heat and Power, Commercial Power",253877.0
OH,"Combined Heat and Power, Electric Power",1593691.0
OH,"Combined Heat and Power, Industrial Power",746446.0
OH,"Electric Generators, Electric Utilities",12554826.0
OH,"Electric Generators, Independent Power Producers",108186770.0
OK,"Combined Heat and Power, Commercial Power",0.0
OK,"Combined Heat and Power, Industrial Power",839102.0
OK,"Electric Generators, Electric Utilities",36250896.0
OK,"Electric Generators, Independent Power Producers",43474125.0
OR,"Combined Heat and Power, Commercial Power",81271.0
OR,"Combined Heat and Power, Electric Power",5909188.0
OR,"Combined Heat and Power, Industrial Power",631596.0
OR,"Electric Generators, Electric Utilities",39845286.0
OR,"Electric Generators, Independent Power Producers",14614496.0
PA,"Combined Heat and Power, Commercial Power",384085.0
PA,"Combined Heat and Power, Electric Power",7924378.0
PA,"Combined Heat and Power, Industrial Power",2728318.0
PA,"Electric Generators, Electric Utilities",108593.0
PA,"Electric Generators, Independent Power Producers",230502987.0
RI,"Combined Heat and Power, Commercial Power",57447.0
RI,"Combined Heat and Power, Industrial Power",137274.0
RI,"Electric Generators, Electric Utilities",2.0
RI,"Electric Generators, Independent Power Producers",7840292.0
SC,"Combined Heat and Power, Commercial Power",2208.0
SC,"Combined Heat and Power, Electric Power",681914.0
SC,"Combined Heat and Power, Industrial Power",1804883.0
SC,"Electric Generators, Electric Utilities",94331674.0
SC,"Electric Generators, Independent Power Producers",3103724.0
SD,"Combined Heat and Power, Commercial Power",12.0
SD,"Combined Heat and Power, Industrial Power",28443.0
SD,"Electric Generators, Electric Utilities",9905268.0
SD,"Electric Generators, Independent Power Producers",7900910.0
TN,"Combined Heat and Power, Commercial Power",205812.0
TN,"Combined Heat and Power, Industrial Power",2204479.0
TN,"Electric Generators, Electric Utilities",78603226.0
TN,"Electric Generators, Independent Power Producers",465366.0
TX,"Combined Heat and Power, Commercial Power",612266.0
TX,"Combined Heat and Power, Electric Power",41947893.0
TX,"Combined Heat and Power, Industrial Power",41286435.0
TX,"Electric Generators, Electric Utilities",82082918.0
TX,"Electric Generators, Independent Power Producers",317632263.0
US-TOTAL,"Combined Heat and Power, Commercial Power",13147622.0
US-TOTAL,"Combined Heat and Power, Electric Power",132382347.0
US-TOTAL,"Combined Heat and Power, Industrial Power",139607169.0
US-TOTAL,"Electric Generators, Electric Utilities",2216234058.0
US-TOTAL,"Electric Generators, Independent Power Producers",1614168959.0
UT,"Combined Heat and Power, Commercial Power",126451.0
UT,"Combined Heat and Power, Electric Power",53816.0
UT,"Combined Heat and Power, Industrial Power",416951.0
UT,"Electric Generators, Electric Utilities",37112552.0
UT,"Electric Generators, Independent Power Producers",4947012.0
VA,"Combined Heat and Power, Commercial Power",331937.0
VA,"Combined Heat and Power, Electric Power",1012106.0
VA,"Combined Heat and Power, Industrial Power",2333896.0
VA,"Electric Generators, Electric Utilities",73103689.0
VA,"Electric Generators, Independent Power Producers",17527389.0
VT,"Combined Heat and Power, Commercial Power",3141.0
VT,"Electric Generators, Electric Utilities",915002.0
VT,"Electric Generators, Independent Power Producers",1229589.0
WA,"Combined Heat and Power, Commercial Power",28075.0
WA,"Combined Heat and Power, Industrial Power",2101579.0
WA,"Electric Generators, Electric Utilities",94110726.0
WA,"Electric Generators, Independent Power Producers",12882338.0
WI,"Combined Heat and Power, Commercial Power",139559.0
WI,"Combined Heat and Power, Electric Power",943291.0
WI,"Combined Heat and Power, Industrial Power",1451526.0
WI,"Electric Generators, Electric Utilities",51160713.0
WI,"Electric Generators, Independent Power Producers",11783588.0
WV,"Combined Heat and Power, Industrial Power",1286665.0
WV,"Electric Generators, Electric Utilities",47093799.0
WV,"Electric Generators, Independent Power Producers",17250096.0
WY,"Combined Heat and Power, Industrial Power",2234720.0
WY,"Electric Generators, Electric Utilities",37365468.0
WY,"Electric Generators, Independent Power Producers",4050482.0
